관리코드,시도,시군구,기관명,URL,QA상태,추천파서,발견,유효,무효,HTTP,오류코드,오류메시지,표본,응답시간ms
"LGS-000001","서울특별시","서울특별시","서울특별시청","https://www.seoul.go.kr/news/news_notice.do?bbsId=001&bbsNo=277","PASS","SAFE_SEOUL_NOTICE","10","10","0","200","","","건설업 폐업신고 처리내역 공고 (공고 제2026-2119) / 2026-07-13 / https://www.seoul.go.kr/news/news_notice.do?bbsId=001&bbsNo=277&nttNo=461593 | 2026년 제1차(상반기) 서울시 지역형 예비사회적기업 지정 공고 / 2026-07-13 / https://www.seoul.go.kr/news/news_notice.do?bbsId=001&bbsNo=277&nttNo=461583 | 남산공원 CCTV 추가 설치에 관한 행정예고 / 2026-07-13 / https://www.seoul.go.kr/news/news_notice.do?bbsId=001&bbsNo=277&nttNo=461581","1304"
"LGS-000002","서울특별시","종로구","종로구청","https://market.jongno.go.kr/support/support_jongno","PASS","HEURISTIC_NOTICE","4","4","0","200","","","22 금융 2026 종로구 주방환경개선 지원사업 신청기간 20260416 ~ 20260515(마감) 소관기관명 종로구 사업수행기관 보건정책과 등록일 2026-04-16 조회수 230 / 2026-04-16 / https://market.jongno.go.kr/support/support_jongno_detail?jsb_key=0d7077c5-c28c-451c-b973-9a91b36b22cb | 21 금융 2026년 소상공인 맞춤형 종합지원사업 신청기간 예산 소진으로 마감 소관기관명 종로구 사업수행기관 서울신용보증재단 등록일 2026-03-31 조회수 473 / 2026-03-31 / https://market.jongno.go.kr/support/support_jongno_detail?jsb_key=a16d8220-7aa9-461d-96f8-777b90b7c08c | 20 금융 종로구 중소기업육성기금 상반기 융자 지원 신청기간 예산 소진으로 마감 소관기관명 종로구 사업수행기관 서울신용보증재단, 우리은행 등록일 2026-03-11 조회수 356 / 2026-03-11 / https://market.jongno.go.kr/support/support_jongno_detail?jsb_key=4196b2ca-ab22-43f5-ae37-3364cb29fd79","550"
"LGS-000003","서울특별시","중구","중구청","https://www.junggu.seoul.kr/content.do?cmsid=14232&mode=list","PASS","JUNGGU_NOTICE_TABLE","10","10","0","200","","","공공기관 종합청렴도 평가 관련 개인정보 제3자 제공사항 알림 공고 / 2026-07-14 / https://www.junggu.seoul.kr/content.do?cmsid=14232&mode=view&cid=1460749992 | 2026년 지방세입 체납자 실태조사원 기간제 근로자 서류전형 합격자 공고 / 2026-07-13 / https://www.junggu.seoul.kr/content.do?cmsid=14232&mode=view&cid=146072229 | 멸실인정 자동차 말소등록 예고통지 공시송달 공고 / 2026-07-13 / https://www.junggu.seoul.kr/content.do?cmsid=14232&mode=view&cid=1460706621","669"
"LGS-000004","서울특별시","용산구","용산구청","https://health.yongsan.go.kr/portal/bbs/B0000095/list.do?menuNo=200233","PASS","SPRING_BBS","10","10","0","200","","","지방세입 체납관리단 실태조사원 기간제근로자 채용 서류전형 합격자 발표 및 면접시행 계획 공고 / 2026-07-13 / https://health.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=766099&menuNo=200233&pageUnit=10&pageIndex=1 | 자동차(이륜자동차 포함) 종합(정기)검사 관련 우편 반송분 공시송달 / 2026-07-13 / https://health.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=766096&menuNo=200233&pageUnit=10&pageIndex=1 | 2026년 임금교섭 및 협의회 개최 요구사실과 교섭참여 공고 / 2026-07-13 / https://health.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=766077&menuNo=200233&pageUnit=10&pageIndex=1","1056"
"LGS-000005","서울특별시","성동구","성동구청","https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=183&key=1472","PASS","HEURISTIC_NOTICE","10","10","0","200","","","2026년 제30회 민원봉사대상 수상후보자 공적 게시NEW / 2026-07-13 / https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=359774&&pageUnit=10&key=1472&nttShowPd=36&pageIndex=1 | 2026년 임산부 친환경농산물 지원사업 신청 안내NEW / 2026-07-13 / https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=359760&&pageUnit=10&key=1472&nttShowPd=36&pageIndex=1 | [성동문화재단] ‛세상에서 하나뿐인 우리집 자장가‵ 무료 참여자 모집 안내NEW / 2026-07-12 / https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=359735&&pageUnit=10&key=1472&nttShowPd=36&pageIndex=1","1553"
"LGS-000006","서울특별시","광진구","광진구청","https://www.gwangjin.go.kr/portal/bbs/B0000003/list.do?menuNo=200192","PASS","SAEOL_GOSI","10","10","0","200","","","체육시설업 행정처분(등록취소) 공시송달 공고 / 2025-09-12 / https://www.gwangjin.go.kr/portal/bbs/B0000003/view.do?nttId=6415498&menuNo=200192&pSiteId=portal&pageIndex=1 | 2025년 8월 부과 지방소득세 납세고지서 및 25년 6월~25년 7월 부과 지방소득세 독촉장 공시송달 / 2025-09-12 / https://www.gwangjin.go.kr/portal/bbs/B0000003/view.do?nttId=6415496&menuNo=200192&pSiteId=portal&pageIndex=1 | 지방세 납세고지서 등 공시송달 / 2025-09-15 / https://www.gwangjin.go.kr/portal/bbs/B0000003/view.do?nttId=6415454&menuNo=200192&pSiteId=portal&pageIndex=1","758"
"LGS-000007","서울특별시","동대문구","동대문구청","https://www.ddm.go.kr/www/selectEminwonWebList.do?key=3291&searchNotAncmtSeCode=01%2C02%2C04%2C05%2C06%2C07","PASS","SPRING_BBS","10","10","0","200","","","사례관리 연계 처분 통지서 반송분 공시송달 공고 / 2026-07-14 / https://www.ddm.go.kr/www/selectEminwonWebView.do?pageUnit=10&pageIndex=1&searchCnd=all&key=3291&searchNotAncmtSeCode=01,02,04,05,06,07&notAncmtMgtNo=22199 | 2026년 국가결핵관리사업 기간제근로자 채용 공고 / 2026-07-14 / https://www.ddm.go.kr/www/selectEminwonWebView.do?pageUnit=10&pageIndex=1&searchCnd=all&key=3291&searchNotAncmtSeCode=01,02,04,05,06,07&notAncmtMgtNo=22202 | 「2026년 생활밀착형 소규모시설경사로 설치 지원」 보조사업자 선정 공고 / 2026-07-13 / https://www.ddm.go.kr/www/selectEminwonWebView.do?pageUnit=10&pageIndex=1&searchCnd=all&key=3291&searchNotAncmtSeCode=01,02,04,05,06,07&notAncmtMgtNo=22205","1196"
"LGS-000008","서울특별시","중랑구","중랑구청","https://www.jungnang.go.kr/portal/bbs/list/B0000422.do?menuNo=201111","PARSER_UNSUPPORTED","SAFE_YANGCHEON_SEOL","0","0","0","200","","","","1734"
"LGS-000009","서울특별시","성북구","성북구청","https://www.sb.go.kr/www/selectEminwonList.do?bbsNo=41&key=6920","PASS","SAEOL_GOSI","12","10","2","200","","","무단방치 자전거 처분 공고 / 2026-07-14 / https://www.sb.go.kr/www/selectEminwonView.do?pageUnit=10&pageIndex=1&searchCnd=all&searchCnd2=&depNm=&key=6920&notAncmtMgtNo=44121&notAncmtSeCode= | 제6회 안암동 주민총회 결과 공고 / 2026-07-14 / https://www.sb.go.kr/www/selectEminwonView.do?pageUnit=10&pageIndex=1&searchCnd=all&searchCnd2=&depNm=&key=6920&notAncmtMgtNo=44118&notAncmtSeCode= | 2026년상반기 석관동 자치회관 프로그램 수강료 수입 및 지출내역 공고 / 2026-07-14 / https://www.sb.go.kr/www/selectEminwonView.do?pageUnit=10&pageIndex=1&searchCnd=all&searchCnd2=&depNm=&key=6920&notAncmtMgtNo=44114&notAncmtSeCode=","1093"
"LGS-000010","서울특별시","강북구","강북구청","https://child.gangbuk.go.kr/portal/bbs/B0000145/list.do?menuNo=200081","PASS","SPRING_BBS","10","10","0","200","","","[강북구진로직업체험지원센터] 직원 채용 공고 / 2026-07-13 / https://child.gangbuk.go.kr/portal/bbs/B0000145/view.do?menuNo=200081&nttId=183162 | 2026년 강북구 임산부 친환경농산물 지원사업 신청 안내 / 2026-07-13 / https://child.gangbuk.go.kr/portal/bbs/B0000145/view.do?menuNo=200081&nttId=183157 | 2026년 강북 오아시스 냉장고(생수나눔) 운영 안내 / 2026-07-12 / https://child.gangbuk.go.kr/portal/bbs/B0000145/view.do?menuNo=200081&nttId=183127","745"
"LGS-000011","서울특별시","도봉구","도봉구청","https://www.dobong.go.kr/bbs.asp?code=10008769","PASS","DOBONG_NOTICE_TABLE","10","10","0","200","","","2026년 도봉한잔 빚음. 수제맥주 교육생 모집 / 2026-07-13 / https://www.dobong.go.kr/bbs.asp?bmode=D&pcode=12744565&code=10008769 | 2026년 도봉구 야외 물놀이장 미운영 안내 / 2026-07-10 / https://www.dobong.go.kr/bbs.asp?bmode=D&pcode=12744471&code=10008769 | 「2026년 전기차 충전인프라 시민 직접지원 시범사업(2차)」 안내 / 2026-07-09 / https://www.dobong.go.kr/bbs.asp?bmode=D&pcode=12744437&code=10008769","1195"
"LGS-000012","서울특별시","노원구","노원구청","https://www.nowon.kr/www/user/bbs/BD_selectBbsList.do?q_bbsCode=1001&q_estnColumn1=11","PASS","NOWON_NOTICE_TABLE","10","10","0","200","","","2026년 주민등록 사실조사 안내 / 2026-07-13 / https://www.nowon.kr/www/user/bbs/BD_selectBbs.do?q_bbsCode=1001&q_bbscttSn=20260713173649864 | (7.12.~8.5.) 노원문화예술회관 '제12회 서울시민연극제' 공연 보러 오세요♪ / 2026-07-13 / https://www.nowon.kr/www/user/bbs/BD_selectBbs.do?q_bbsCode=1001&q_bbscttSn=20260713143723799 | 2026년 반려동물문화센터「힐링하시개!댕댕하우스」8월 교육신청 안내 / 2026-07-13 / https://www.nowon.kr/www/user/bbs/BD_selectBbs.do?q_bbsCode=1001&q_bbscttSn=20260713132621129","1135"
"LGS-000013","서울특별시","은평구","은평구청","https://eminwon.ep.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?context=NTIS&homepage_pbs_yn=Y&jndinm=OfrNotAncmtEJB&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&not_ancmt_se_code=01%2C02%2C04&pageIndex=1&subCheck=Y&yyyy=","PASS","SAFE_SAEOL_EMINWON_COMPACT","20","20","0","200","","","장애인전용 주차구역 주차 위반차량 『과태료부과 사전통지서』공시송달 공고 / 2026-07-14 / https://eminwon.ep.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?context=NTIS&homepage_pbs_yn=Y&jndinm=OfrNotAncmtEJB&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&not_ancmt_mgt_no=50013&subCheck=Y | 무연고 사망자 공고 / 2026-07-14 / https://eminwon.ep.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?context=NTIS&homepage_pbs_yn=Y&jndinm=OfrNotAncmtEJB&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&not_ancmt_mgt_no=50007&subCheck=Y | 주민참여단 모집공고(녹번동 35-78번지 일대 주택정비형 재개발사업) / 2026-07-14 / https://eminwon.ep.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?context=NTIS&homepage_pbs_yn=Y&jndinm=OfrNotAncmtEJB&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&not_ancmt_mgt_no=50005&subCheck=Y","4910"
"LGS-000014","서울특별시","서대문구","서대문구청","https://www.sdm.go.kr/news/notice/notice.do","PASS","SAFE_SEODAEMUN_NOTICE","10","10","0","200","","","건축이행강제금 납부독촉 및 압류예고 통지 반송분 공시송달 공고(이래0) / 2026-07-14 / https://www.sdm.go.kr/news/notice/notice.do?mode=view&sdmBoardSeq=313191 | 서대문구보건소 건강장수센터 기간제근로자(간호사) 채용시험 1차 서류전형 합격자 명단 및 2차 면접시험 일정 공고 / 2026-07-13 / https://www.sdm.go.kr/news/notice/notice.do?mode=view&sdmBoardSeq=313185 | 옥외광고물법 위반 과태료 체납 독촉고지서 반송분 공시송달 공고 / 2026-07-13 / https://www.sdm.go.kr/news/notice/notice.do?mode=view&sdmBoardSeq=313171","673"
"LGS-000015","서울특별시","마포구","마포구청","https://www.mapo.go.kr/","PASS","HEURISTIC_NOTICE","23","23","0","200","","","2026년 마포구 여름방학 영어캠프 안내 / 2026-07-06 / https://www.mapo.go.kr/site/main/board/notice/276439 | 2026년 장애인복지유공자 표창 대상자 추천 안내 / 2026-07-10 / https://www.mapo.go.kr/site/main/board/notice/276725 | 2026년 AI 디지털배움터 8월 교육 안내 / 2026-07-08 / https://www.mapo.go.kr/site/main/board/notice/276606","838"
"LGS-000016","서울특별시","양천구","양천구청","https://www.yangcheon.go.kr/site/yangcheon/ex/seol/seolCollectList.do","PASS","SAFE_YANGCHEON_SEOL","10","10","0","200","","","2026년 양천구 도로열선 설치사업(3・4권역) 특정공법 선정 정량평가 결과 공고 / 2026-07-14 / https://www.yangcheon.go.kr/site/yangcheon/ex/seol/seolContentDeailView.do?not_ancmt_mgt_no=47495 | 소유자(점유자) 불명 무단 방치이륜자동차 강제처리(폐차) 공고 / 2026-07-14 / https://www.yangcheon.go.kr/site/yangcheon/ex/seol/seolContentDeailView.do?not_ancmt_mgt_no=47489 | 공동주택 금연구역 지정 공고(목동현대아파트) / 2026-07-13 / https://www.yangcheon.go.kr/site/yangcheon/ex/seol/seolContentDeailView.do?not_ancmt_mgt_no=47496","610"
"LGS-000017","서울특별시","강서구","강서구청","https://www.gangseo.seoul.kr/gs040301","PASS","SAEOL_GOSI","10","10","0","200","","","2026년 상반기 화곡6동 자치회관 수입 및 지출 내역 공고 / 2026-07-14 / https://www.gangseo.seoul.kr/gs040301/view?srchPage=&curPage=1&srchKey=&srchText=&mgtNo=67592 | 방화3동 2026년 상반기 자치회관 프로그램 수입 및 지출 내역 공고 / 2026-07-14 / https://www.gangseo.seoul.kr/gs040301/view?srchPage=&curPage=1&srchKey=&srchText=&mgtNo=67589 | 건설업 신규등록 공고 / 2026-07-14 / https://www.gangseo.seoul.kr/gs040301/view?srchPage=&curPage=1&srchKey=&srchText=&mgtNo=67599","1420"
"LGS-000018","서울특별시","구로구","구로구청","https://www.guro.go.kr/www/selectBbsNttList.do?bbsNo=662&key=1790&pageIndex=1&pageUnit=10&searchCnd=SJ&searchKrwd=%EC%86%8C%EC%83%81%EA%B3%B5%EC%9D%B8","PASS","HEURISTIC_NOTICE","10","10","0","200","","","2026년 구로구 소상공인 디지털 역량강화 교육 수강생 모집 / 2026-06-08 / https://www.guro.go.kr/www/selectBbsNttView.do?bbsNo=662&nttNo=234928&&pageUnit=10&searchCnd=SJ&searchKrwd=%EC%86%8C%EC%83%81%EA%B3%B5%EC%9D%B8&key=1790&pageIndex=1 | (~5.8.)「소상공인 LP가스시설 개선사업」 안내 / 2026-04-29 / https://www.guro.go.kr/www/selectBbsNttView.do?bbsNo=662&nttNo=233475&&pageUnit=10&searchCnd=SJ&searchKrwd=%EC%86%8C%EC%83%81%EA%B3%B5%EC%9D%B8&key=1790&pageIndex=1 | [2026년 소상공인 새 길 여는 폐업지원] 지원대상 모집 / 2026-04-13 / https://www.guro.go.kr/www/selectBbsNttView.do?bbsNo=662&nttNo=232330&&pageUnit=10&searchCnd=SJ&searchKrwd=%EC%86%8C%EC%83%81%EA%B3%B5%EC%9D%B8&key=1790&pageIndex=1","2534"
